&a  °	I1  %
-1.315	30.4
-1.321	32.4
-1.326	34.0
-1.331	34.8
-1.337	35.2
-1.342	34.8
-1.347	34.0
-1.353	33.2
-1.358	32.0
-1.363	30.0
-1.369	27.2
-1.374	23.6
-1.379	19.6
-1.385	16.0
-1.390	13.2
-1.395	10.8
-1.401	9.2
-1.406	8.0
-1.411	7.2
-1.417	6.4
-1.422	6.0
-1.428	5.6
-1.433	5.2
-1.438	4.8
-1.444	4.4
-1.449	4.4
-1.454	4.4
-1.460	4.4
-1.465	4.4
-1.470	4.4
-1.476	4.4
-1.481	4.4
-1.486	4.4
-1.492	4.4
-1.497	4.4
-1.502	4.8
-1.508	5.2
-1.513	5.6
-1.518	6.0
-1.524	6.4
-1.529	6.8
-1.534	7.6
-1.540	8.8
-1.545	10.0
-1.550	11.6
-1.556	13.6
-1.561	16.0
-1.566	18.8
-1.572	21.6
-1.577	24.4
-1.582	27.6
-1.588	30.4
-1.593	32.4
-1.599	34.0
-1.604	34.4
-1.609	34.0
-1.615	33.2
-1.620	32.0
-1.625	30.4
-1.631	27.2
-1.636	22.8
-1.641	18.4
-1.647	14.4
-1.652	11.6
-1.657	9.6
-1.663	8.0
-1.668	6.8
-1.673	6.0
-1.679	5.6
-1.684	5.2
-1.689	4.8
-1.695	4.8
-1.700	4.4
-1.705	4.4
-1.711	4.4
-1.716	4.4
-1.721	4.4
-1.727	4.4
-1.732	4.4
-1.737	4.8
-1.743	4.8
-1.748	5.2
-1.753	5.6
-1.759	6.0
-1.764	6.8
-1.769	7.6
-1.775	8.4
-1.780	10.0
-1.786	11.6
-1.791	14.0
-1.796	16.8
-1.802	20.0
-1.807	23.6
-1.812	27.2
-1.818	30.0
-1.823	32.4
-1.828	34.0
-1.834	34.8
-1.839	34.8
-1.844	33.6
-1.850	31.2
-1.855	27.2
-1.860	22.0
-1.866	17.2
-1.871	13.2
-1.876	10.4
-1.882	8.4
-1.887	7.2
-1.892	6.4
-1.898	5.6
-1.903	5.2
-1.908	4.8
-1.914	4.4
-1.919	4.4
-1.924	4.4
-1.930	4.4
-1.935	4.4
-1.940	4.4
-1.946	4.4
-1.951	4.8
-1.956	5.2
-1.962	5.6
-1.967	6.0
-1.972	6.8
-1.978	7.6
-1.983	8.8
-1.989	10.4
-1.994	12.4
-1.999	15.2
-2.005	18.8
-2.010	22.8
-2.015	26.4
-2.021	29.6
-2.026	32.4
-2.031	33.6
-2.037	33.6
-2.042	32.8
-2.047	30.8
-2.053	27.2
-2.058	22.0
-2.063	16.8
-2.069	12.8
-2.074	10.0
-2.079	8.0
-2.085	6.8
-2.090	6.0
-2.095	5.2
-2.101	4.8
-2.106	4.4
-2.111	4.4
-2.117	4.4
-2.122	4.4
-2.127	4.4
-2.133	4.4
-2.138	4.8
-2.143	5.2
-2.149	5.6
-2.154	6.0
-2.159	6.8
-2.165	7.6
-2.170	8.8
-2.175	10.4
-2.181	12.8
-2.186	16.0
-2.191	19.6
-2.197	23.6
-2.202	27.6
-2.207	30.8
-2.213	32.8
-2.218	34.0
-2.223	33.2
-2.229	30.0
-2.234	24.8
-2.240	19.2
-2.245	14.4
-2.250	11.2
-2.256	8.8
-2.261	7.2
-2.266	6.0
-2.272	5.2
-2.277	4.8
-2.282	4.4
-2.288	4.4
-2.293	4.4
-2.298	4.4
-2.304	4.4
-2.309	4.4
-2.314	4.8
-2.320	5.2
-2.325	5.6
-2.330	6.4
-2.336	7.2
-2.341	8.4
-2.346	10.0
-2.352	12.4
-2.357	15.6
-2.362	19.2
-2.368	23.2
-2.373	28.0
-2.378	32.0
-2.384	34.4
-2.389	34.8
-2.394	32.8
-2.400	27.6
-2.405	20.8
-2.410	15.2
-2.416	11.2
-2.421	8.8
-2.426	7.2
-2.432	6.0
-2.437	5.2
-2.442	4.8
-2.448	4.4
-2.453	4.4
-2.458	4.4
-2.464	4.4
-2.469	4.4
-2.474	4.8
-2.480	5.2
-2.485	5.6
-2.490	6.4
-2.496	7.2
-2.501	8.8
-2.506	10.8
-2.512	13.2
-2.517	16.4
-2.522	20.4
-2.528	24.8
-2.533	29.2
-2.538	32.4
-2.544	33.6
-2.549	32.0
-2.554	26.8
-2.560	20.4
-2.565	14.8
-2.570	10.8
-2.576	8.4
-2.581	6.8
-2.586	5.6
-2.592	4.8
-2.597	4.4
-2.602	4.4
-2.608	4.4
-2.613	4.4
-2.619	4.4
-2.624	4.4
-2.629	4.8
-2.635	5.2
-2.640	6.0
-2.645	7.2
-2.651	8.8
-2.656	11.2
-2.661	14.0
-2.667	17.2
-2.672	21.2
-2.677	25.2
-2.683	28.4
-2.688	30.8
-2.693	30.8
-2.699	27.6
-2.704	21.2
-2.709	15.6
-2.715	11.2
-2.720	8.4
-2.725	6.8
-2.731	5.6
-2.736	4.4
-2.741	4.4
-2.747	4.4
-2.752	4.4
-2.757	4.4
-2.763	4.4
-2.768	4.8
-2.773	5.2
-2.779	5.6
-2.784	6.8
-2.789	8.0
-2.795	10.0
-2.800	12.4
-2.805	15.6
-2.811	19.6
-2.816	24.0
-2.821	28.4
-2.827	31.6
-2.832	31.2
-2.837	26.8
-2.843	20.0
-2.848	14.4
-2.853	10.4
-2.859	8.0
-2.864	6.4
-2.869	5.2
-2.875	4.8
-2.880	4.4
-2.885	4.4
-2.891	4.4
-2.896	4.4
-2.901	4.4
-2.907	4.8
-2.912	5.6
-2.917	6.4
-2.923	8.0
-2.928	10.0
-2.933	12.4
-2.939	15.6
-2.944	19.6
-2.949	24.4
-2.955	29.2
-2.960	32.0
-2.965	30.8
-2.971	24.8
-2.976	18.0
-2.981	12.8
-2.987	9.2
-2.992	7.2
-2.997	5.6
-3.003	4.8
-3.008	4.4
-3.013	4.0
-3.019	4.0
-3.024	4.0
-3.029	4.0
-3.035	4.8
-3.040	5.6
-3.045	6.4
-3.051	7.6
-3.056	9.6
-3.061	12.0
-3.067	15.2
-3.072	19.2
-3.077	24.0
-3.083	28.4
-3.088	30.0
-3.093	26.8
-3.099	20.4
-3.104	14.4
-3.109	10.4
-3.115	7.6
-3.120	6.0
-3.125	5.2
-3.131	4.8
-3.136	4.4
-3.141	4.0
-3.147	4.0
-3.152	4.4
-3.157	4.8
-3.163	5.6
-3.168	6.4
-3.173	7.6
-3.179	9.6
-3.184	12.4
-3.189	15.6
-3.195	20.0
-3.200	24.8
-3.205	27.6
-3.211	27.2
-3.216	22.0
-3.221	15.6
-3.227	10.8
-3.232	8.0
-3.237	6.0
-3.243	5.2
-3.248	4.4
-3.253	4.0
-3.259	4.0
-3.264	4.0
-3.269	4.0
-3.275	4.0
-3.280	4.8
-3.285	5.6
-3.291	6.8
-3.296	8.4
-3.301	10.8
-3.306	14.4
-3.312	18.4
-3.317	22.8
-3.322	26.0
-3.328	25.6
-3.333	20.8
-3.338	15.2
-3.344	10.8
-3.349	8.0
-3.354	6.0
-3.360	4.8
-3.365	4.4
-3.370	4.0
-3.376	4.0
-3.381	4.0
-3.386	4.4
-3.392	4.8
-3.397	5.6
-3.402	6.8
-3.408	8.4
